,markers,direction
1710850895.837112,1.0,270.0
1710850895.853974,1.0,270.0
1710850895.8708348,1.0,270.0
1710850895.887439,1.0,270.0
1710850895.904185,1.0,270.0
1710850895.921699,1.0,270.0
1710850895.931185,1.0,270.0
1710850895.953449,1.0,270.0
1710850895.9727108,1.0,270.0
1710850895.982369,1.0,270.0
1710850896.003723,1.0,270.0
1710850896.0217311,1.0,270.0
1710850896.038774,1.0,270.0
1710850896.053231,1.0,270.0
1710850896.0705678,1.0,270.0
1710850896.087106,1.0,270.0
1710850896.105104,1.0,270.0
1710850896.1203132,1.0,270.0
1710850896.137152,1.0,270.0
1710850896.153866,1.0,270.0
1710850896.170144,1.0,270.0
1710850896.188725,1.0,270.0
1710850896.1974132,1.0,270.0
1710850896.2217972,1.0,270.0
1710850896.238104,1.0,270.0
1710850896.2539918,1.0,270.0
1710850896.271935,1.0,270.0
1710850896.2882922,1.0,270.0
1710850896.304534,1.0,270.0
1710850896.3215501,1.0,270.0
1710850896.33795,1.0,270.0
1710850896.35472,1.0,270.0
1710850896.365031,1.0,270.0
1710850896.3870258,1.0,270.0
1710850896.4036329,1.0,270.0
1710850896.4202938,1.0,270.0
1710850896.437122,1.0,270.0
1710850896.453486,1.0,270.0
1710850896.471709,1.0,270.0
1710850896.48802,1.0,270.0
1710850896.5048242,1.0,270.0
1710850896.521889,1.0,270.0
1710850896.5384781,1.0,270.0
1710850896.5546188,1.0,270.0
1710850896.5709498,1.0,270.0
1710850896.588084,1.0,270.0
1710850896.6047318,1.0,270.0
1710850896.6212459,1.0,270.0
1710850896.6378539,1.0,270.0
1710850896.655065,1.0,270.0
1710850896.671691,1.0,270.0
1710850896.688731,1.0,270.0
1710850896.70516,1.0,270.0
1710850896.721466,1.0,270.0
1710850896.7379808,1.0,270.0
1710850896.7549188,1.0,270.0
1710850896.770066,1.0,270.0
1710850896.787694,1.0,270.0
1710850896.8053172,1.0,270.0
1710850896.822528,1.0,270.0
1710850896.838567,1.0,270.0
1710850896.854968,1.0,270.0
1710850896.871255,1.0,270.0
1710850896.888265,1.0,270.0
1710850896.904683,1.0,270.0
1710850896.921232,1.0,270.0
1710850896.937598,1.0,270.0
1710850896.955171,1.0,270.0
1710850896.97013,1.0,270.0
1710850896.988572,1.0,270.0
1710850897.0036612,1.0,270.0
1710850897.019881,1.0,270.0
1710850897.036443,1.0,270.0
1710850897.052995,1.0,270.0
1710850897.069827,1.0,270.0
1710850897.08755,1.0,270.0
1710850897.104379,1.0,270.0
1710850897.120933,1.0,270.0
1710850897.136836,1.0,270.0
1710850897.1546729,1.0,270.0
1710850897.163739,1.0,270.0
1710850897.18655,1.0,270.0
1710850897.198596,1.0,270.0
1710850897.219878,1.0,270.0
1710850897.236446,1.0,270.0
1710850897.25329,1.0,270.0
1710850897.270966,1.0,270.0
1710850897.287675,1.0,270.0
1710850897.304778,1.0,270.0
1710850897.320541,1.0,270.0
1710850897.336685,1.0,270.0
1710850897.353236,1.0,270.0
1710850897.371531,1.0,270.0
1710850897.384923,1.0,270.0
1710850897.40518,1.0,270.0
1710850897.4149,1.0,270.0
1710850897.438787,1.0,270.0
1710850897.449652,2.0,270.0
1710850897.47237,2.0,270.0
1710850897.483257,2.0,270.0
1710850897.5051048,2.0,270.0
1710850897.515012,2.0,270.0
1710850897.5397062,2.0,270.0
1710850897.552193,2.0,270.0
1710850897.571558,2.0,270.0
1710850897.581196,2.0,270.0
1710850897.604814,2.0,270.0
1710850897.619394,2.0,270.0
1710850897.638324,2.0,270.0
1710850897.652527,2.0,270.0
1710850897.6715221,2.0,270.0
1710850897.68062,2.0,270.0
1710850897.704745,2.0,270.0
1710850897.722626,2.0,270.0
1710850897.73839,2.0,270.0
1710850897.7476192,2.0,270.0
1710850897.772351,2.0,270.0
1710850897.781697,2.0,270.0
1710850897.804829,2.0,270.0
1710850897.8147788,2.0,270.0
1710850897.837236,2.0,270.0
1710850897.853714,2.0,270.0
1710850897.871136,2.0,270.0
1710850897.887103,2.0,270.0
1710850897.903774,2.0,270.0
1710850897.920198,2.0,270.0
1710850897.937163,2.0,270.0
1710850897.953793,2.0,270.0
1710850897.970436,2.0,270.0
1710850897.9873972,2.0,270.0
1710850898.0050051,2.0,270.0
1710850898.0188391,2.0,270.0
1710850898.038471,2.0,270.0
1710850898.052127,2.0,270.0
1710850898.0716412,2.0,270.0
1710850898.082987,2.0,270.0
1710850898.103713,2.0,270.0
1710850898.121583,2.0,270.0
1710850898.13258,2.0,270.0
1710850898.154603,2.0,270.0
1710850898.1720881,2.0,270.0
1710850898.1852732,2.0,270.0
1710850898.205781,2.0,270.0
1710850898.215462,2.0,270.0
1710850898.238389,2.0,270.0
1710850898.2478578,2.0,270.0
1710850898.2715049,2.0,270.0
1710850898.2883258,2.0,270.0
1710850898.302614,2.0,270.0
1710850898.321495,2.0,270.0
1710850898.331094,2.0,270.0
1710850898.354877,2.0,270.0
1710850898.371556,2.0,270.0
1710850898.384165,2.0,270.0
1710850898.404816,2.0,270.0
1710850898.421704,2.0,270.0
1710850898.431207,2.0,270.0
1710850898.455613,2.0,270.0
1710850898.466341,3.0,270.0
1710850898.48858,3.0,270.0
1710850898.504639,3.0,270.0
1710850898.522161,3.0,270.0
1710850898.538579,3.0,270.0
1710850898.547269,3.0,270.0
1710850898.571303,3.0,270.0
1710850898.581426,3.0,270.0
1710850898.60484,3.0,270.0
1710850898.614199,3.0,270.0
1710850898.638475,3.0,270.0
1710850898.64814,3.0,270.0
1710850898.670881,3.0,270.0
1710850898.687791,3.0,270.0
1710850898.705159,3.0,270.0
1710850898.718279,3.0,270.0
1710850898.738335,3.0,270.0
1710850898.754941,3.0,270.0
1710850898.764491,3.0,270.0
1710850898.786883,3.0,270.0
1710850898.8043342,3.0,270.0
1710850898.821407,3.0,270.0
1710850898.831367,3.0,270.0
1710850898.854899,3.0,270.0
1710850898.864913,3.0,270.0
1710850898.8883789,3.0,270.0
1710850898.901758,3.0,270.0
1710850898.921131,3.0,270.0
1710850898.931492,3.0,270.0
1710850898.954643,3.0,270.0
1710850898.96686,3.0,270.0
1710850898.9882638,3.0,270.0
1710850899.0046139,3.0,270.0
1710850899.014205,3.0,270.0
1710850899.03864,3.0,270.0
1710850899.055268,3.0,270.0
1710850899.064797,3.0,270.0
1710850899.088313,3.0,270.0
1710850899.102408,3.0,270.0
1710850899.1204531,3.0,270.0
1710850899.1368399,3.0,270.0
1710850899.154598,3.0,270.0
1710850899.171137,3.0,270.0
1710850899.187194,3.0,270.0
1710850899.203246,3.0,270.0
1710850899.221668,3.0,270.0
1710850899.231961,3.0,270.0
1710850899.2547898,3.0,270.0
1710850899.271127,3.0,270.0
1710850899.281117,3.0,270.0
1710850899.305813,3.0,270.0
1710850899.316819,3.0,270.0
1710850899.3380249,3.0,270.0
1710850899.348228,3.0,270.0
1710850899.371586,3.0,270.0
1710850899.384812,3.0,270.0
1710850899.404822,3.0,270.0
1710850899.419678,3.0,270.0
1710850899.4377868,3.0,270.0
1710850899.454644,3.0,270.0
1710850899.463979,3.0,270.0
1710850899.48813,3.0,270.0
1710850899.497526,3.0,270.0
1710850899.521575,3.0,270.0
1710850899.536195,3.0,270.0
1710850899.554606,3.0,270.0
1710850899.571279,3.0,270.0
1710850899.581413,3.0,270.0
1710850899.605035,3.0,270.0
1710850899.614524,3.0,270.0
1710850899.638286,3.0,270.0
1710850899.64769,3.0,270.0
1710850899.671519,3.0,270.0
1710850899.680982,3.0,270.0
1710850899.705197,3.0,270.0
1710850899.714862,3.0,270.0
1710850899.7387,3.0,270.0
1710850899.751955,3.0,270.0
1710850899.771444,3.0,270.0
1710850899.787721,3.0,270.0
1710850899.8047822,3.0,270.0
1710850899.821099,3.0,270.0
1710850899.837984,3.0,270.0
1710850899.854908,3.0,270.0
1710850899.864188,3.0,270.0
1710850899.8883998,3.0,270.0
1710850899.9023092,3.0,270.0
1710850899.920535,3.0,270.0
1710850899.936726,3.0,270.0
1710850899.953501,3.0,270.0
1710850899.970149,3.0,270.0
1710850899.986804,3.0,270.0
1710850900.0041769,3.0,270.0
1710850900.0204349,3.0,270.0
1710850900.037029,3.0,270.0
1710850900.053865,3.0,270.0
1710850900.0713081,3.0,270.0
1710850900.087944,3.0,270.0
1710850900.104494,3.0,270.0
1710850900.1211698,3.0,270.0
1710850900.135052,3.0,270.0
1710850900.154469,3.0,270.0
1710850900.167714,3.0,270.0
1710850900.188559,3.0,270.0
1710850900.199428,3.0,270.0
1710850900.221298,3.0,270.0
1710850900.238315,3.0,270.0
1710850900.251864,3.0,270.0
1710850900.2716548,3.0,270.0
1710850900.281612,3.0,270.0
1710850900.304937,3.0,270.0
1710850900.315056,3.0,270.0
1710850900.338378,3.0,270.0
1710850900.354288,3.0,270.0
1710850900.371574,3.0,270.0
1710850900.388094,3.0,270.0
1710850900.404681,3.0,270.0
1710850900.4150689,3.0,270.0
1710850900.4381068,3.0,270.0
1710850900.447805,3.0,270.0
1710850900.471144,3.0,270.0
1710850900.488271,3.0,270.0
1710850900.502956,3.0,270.0
1710850900.521246,3.0,270.0
1710850900.530805,3.0,270.0
1710850900.5547981,3.0,270.0
1710850900.568676,3.0,270.0
1710850900.588147,3.0,270.0
1710850900.604896,3.0,270.0
1710850900.614941,3.0,270.0
1710850900.638031,3.0,270.0
1710850900.6472058,3.0,270.0
1710850900.671558,3.0,270.0
1710850900.680966,3.0,270.0
1710850900.705634,3.0,270.0
1710850900.72081,3.0,270.0
1710850900.737925,3.0,270.0
